id,remuneracion,integrantes
159,653599,2
160,491273,4
161,552758,3
162,650762,3
163,693892,2
164,613497,3
165,591270,4
166,552862,3
167,641476,4
168,557191,3
169,480572,3
170,590337,3
171,613198,3
172,640902,4
173,584653,3
174,568833,5
175,672858,3
176,538772,4
177,727499,3
178,552808,3
179,568743,3
180,581401,3
181,604391,3
182,501339,3
183,509511,4
184,519227,3
185,548804,4
186,477588,4
187,471428,4
188,536572,5
189,613883,5
190,588247,2
191,637161,4
192,605060,3
193,644074,4
194,593319,4
195,737378,4
196,435283,4
197,587347,5
198,509581,5
199,680089,3
200,601591,3
201,643691,3
202,647379,3
203,572052,5
204,570715,4
205,484333,4
206,557615,5
207,696753,3
208,660995,4
209,467758,3
210,492966,4
211,529186,3
212,650615,4
213,627867,4
214,546332,3
215,576073,4
216,600054,5
217,548716,3
218,477393,4
219,494266,3
220,622922,3
221,600520,4
222,599880,4
223,625707,4
224,627149,3
225,619425,3
226,460819,3
227,506151,3
228,661933,4
229,467515,4
230,564498,3
231,651952,4
232,509567,5
233,558537,4
234,535168,3
235,695958,4
236,537009,4
237,522582,3
238,569015,2
239,544996,3
240,580258,4
241,499379,4
242,471112,3
243,486866,4
244,577555,3
245,462550,3
246,515441,4
247,581726,3
248,541955,3
249,503167,3
250,550821,4
251,580945,5
252,524988,3
253,497097,4
254,445478,4
255,556329,3
256,531657,3
257,486668,4
258,606808,5
259,512019,3
260,440947,3
261,525761,3
262,611309,3
263,518308,4
264,554746,4
265,563464,3
266,584572,4
267,618604,4
268,562642,3
269,468543,4
270,509914,5
271,565860,3
272,570089,3
273,563535,3
274,533419,5
275,678174,4
276,571534,4
277,504531,3
278,578455,3
279,635468,4
280,631569,5
281,684423,4
282,518606,3
283,484382,4
284,691976,5
285,639434,4
286,666529,4
287,528235,3
288,548256,3
289,574962,4
290,465315,3
291,609502,4
292,609726,3
293,765966,3
294,504820,3
295,648783,4
296,524404,3
297,542036,3
298,495358,4
299,602179,4
300,755479,3
301,606820,4
302,536892,3
303,682348,3
304,479283,3
305,898196,3
306,421119,4
307,652073,4
308,478829,3
309,826547,3
310,623415,5
311,559548,3
312,781123,6
313,619727,2
314,589411,3
315,664615,4
316,545783,4
317,716237,4
318,698394,3
319,507802,3
320,586512,2
321,537587,4
322,552732,3
323,625207,5
324,512631,4
325,587722,3
326,522131,2
327,496071,3
328,596473,2
329,560099,3
330,547687,5
331,564511,3
332,522837,3
333,627560,3
334,540864,3
335,602354,4
336,575359,3
337,535461,3
338,591451,3
339,686272,3
340,455271,4
341,463489,3
342,541644,4
343,537452,4
344,612555,3
345,530192,3
346,507708,4
347,514000,3
348,577566,2
349,622750,4
350,566044,2
351,564800,3
352,556723,4
353,565820,3
354,617947,4
355,515907,3
356,651798,3
357,617803,3
358,544128,4
359,567365,4
360,563680,3
361,549175,4
362,474963,3
363,484962,4
364,520186,3
365,478368,3
366,511161,4
367,562941,3
368,578998,4
369,525370,3
370,551540,3
371,594878,4
372,647103,4
373,582260,5
374,631223,3
375,658575,4
376,604175,4
377,603614,4
378,466650,3
379,558960,4
380,603989,3
381,517111,4
382,799349,3
383,460470,4
384,643702,4
385,542986,4
386,681495,3
387,538991,3
388,553467,4
389,521735,3
390,503899,3
391,523574,5
392,524634,3
393,510557,4
394,503235,3
395,569311,4
396,487412,4
397,483238,4
398,680217,4
399,715214,3
400,531164,3
401,452478,3
402,653765,3
403,518369,4
404,620114,3
405,551247,4
406,733544,3
407,531321,3
408,602266,4
409,559572,3
410,529648,3
411,595789,4
412,481776,4
413,536158,4
414,616437,4
415,532695,4
416,635491,3
417,573825,3
418,560036,4
419,499264,3
420,773878,3
