Nombre Institución;Tipo Institución;Nombre de la Sede;Comuna donde se imparte la carrera o programa;Nombre Region;Orden Geográfico de la Región (Norte aSur);Carrera Genérica;Nombre Programa;Area Conocimiento;Vacantes (1)
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Arica;Arica;Región de Arica y Parinacota;1;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;45
I.P. INACAP;I.P.;Calama;Calama;Región de Antofagasta;3;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Calama;Calama;Región de Antofagasta;3;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;55
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Copiapó;Copiapó;Región de Atacama;4;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Copiapó;Copiapó;Región de Atacama;4;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;25
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;45
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;45
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;25
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;25
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;65
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Renca;Las Condes;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;40
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;25
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;25
I.P. INACAP;I.P.;Renca;Ñuñoa;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;25
I.P. INACAP;I.P.;Renca;Ñuñoa;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Osorno;Osorno;Región de Los Lagos;14;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Osorno;Osorno;Región de Los Lagos;14;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;40
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Puerto Montt;Puerto Montt;Región de Los Lagos;14;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Puerto Montt;Puerto Montt;Región de Los Lagos;14;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Punta Arenas;Punta Arenas;Región de Magallanes;16;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;50
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Renca;Santiago;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;55
I.P. INACAP;I.P.;Renca;Santiago;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;65
I.P. INACAP;I.P.;Talca;Talca;Región del Maule;9;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;35
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;35
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;20
I.P. INACAP;I.P.;Valdivia;Valdivia;Región de los Ríos;13;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;40
I.P. INACAP;I.P.;Valdivia;Valdivia;Región de los Ríos;13;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;30
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas;Administración y Comercio;35
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Renca;Santiago;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Renca;Santiago;Región Metropolitana;7;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería en Administración, Administración de Empresas y similares;Ingeniería en Administración de Empresas Financieras;Administración y Comercio;10
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Renca;Santiago;Región Metropolitana;7;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Renca;Santiago;Región Metropolitana;7;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería en Finanzas y similares;Ingeniería Financiera;Administración y Comercio;10
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;80
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;20
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;50
I.P. INACAP;I.P.;Renca;Las Condes;Región Metropolitana;7;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;30
I.P. INACAP;I.P.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;25
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;85
I.P. INACAP;I.P.;Osorno;Osorno;Región de Los Lagos;14;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;20
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;70
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;25
I.P. INACAP;I.P.;Talca;Talca;Región del Maule;9;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;60
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;55
I.P. INACAP;I.P.;Valdivia;Valdivia;Región de los Ríos;13;Ingeniería Agrícola y Agropecuaría;Ingeniería Agrícola;Agricultura, Silvicultura, Pesca y Veterinaria;40
I.P. INACAP;I.P.;Arica;Arica;Región de Arica y Parinacota;1;Construcción Civil;Construcción Civil;Tecnología;40
I.P. INACAP;I.P.;Arica;Arica;Región de Arica y Parinacota;1;Construcción Civil;Construcción Civil;Tecnología;45
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Construcción Civil;Construcción Civil;Tecnología;70
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;Coyhaique;Coyhaique;Región de Aysén;15;Construcción Civil;Construcción Civil;Tecnología;35
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Construcción Civil;Construcción Civil;Tecnología;60
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Construcción Civil;Construcción Civil;Tecnología;40
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Construcción Civil;Construcción Civil;Tecnología;40
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Construcción Civil;Construcción Civil;Tecnología;35
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Construcción Civil;Construcción Civil;Tecnología;50
I.P. INACAP;I.P.;Renca;Ñuñoa;Región Metropolitana;7;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;Osorno;Osorno;Región de Los Lagos;14;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;Osorno;Osorno;Región de Los Lagos;14;Construcción Civil;Construcción Civil;Tecnología;20
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Construcción Civil;Construcción Civil;Tecnología;55
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Construcción Civil;Construcción Civil;Tecnología;85
I.P. INACAP;I.P.;Punta Arenas;Punta Arenas;Región de Magallanes;16;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;Punta Arenas;Punta Arenas;Región de Magallanes;16;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Construcción Civil;Construcción Civil;Tecnología;75
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Construcción Civil;Construcción Civil;Tecnología;25
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Construcción Civil;Construcción Civil;Tecnología;40
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Construcción Civil;Construcción Civil;Tecnología;55
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Construcción Civil;Construcción Civil;Tecnología;20
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Construcción Civil;Construcción Civil;Tecnología;25
I.P. INACAP;I.P.;Talca;Talca;Región del Maule;9;Construcción Civil;Construcción Civil;Tecnología;55
I.P. INACAP;I.P.;Talca;Talca;Región del Maule;9;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Construcción Civil;Construcción Civil;Tecnología;50
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Construcción Civil;Construcción Civil;Tecnología;35
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Construcción Civil;Construcción Civil;Tecnología;85
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Construcción Civil;Construcción Civil;Tecnología;40
I.P. INACAP;I.P.;Valdivia;Valdivia;Región de los Ríos;13;Construcción Civil;Construcción Civil;Tecnología;40
I.P. INACAP;I.P.;Valdivia;Valdivia;Región de los Ríos;13;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Construcción Civil;Construcción Civil;Tecnología;35
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Construcción Civil;Construcción Civil;Tecnología;30
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;30
